# Shellcode detector== Legitimate instructions executed before shellcode was detected ==
0x7F9AD43A1F7F::libc.so.6  74 02                   jz 0x7f9ad43a1f83
0x7F9AD43A1F81::libc.so.6  FF D0                   call rax
0x7F9AD43A1F83::libc.so.6  C7 05 57 51 30 00 01 00 00 00 mov dword ptr [rip+0x305157], 0x1
0x7F9AD43A1F8D::libc.so.6  48 83 C4 38             add rsp, 0x38
0x7F9AD43A1F91::libc.so.6  5B                      pop rbx
0x7F9AD43A1F92::libc.so.6  5D                      pop rbp
0x7F9AD43A1F93::libc.so.6  41 5C                   pop r12
0x7F9AD43A1F95::libc.so.6  41 5D                   pop r13
0x7F9AD43A1F97::libc.so.6  C3                      ret
0x7F9AD43A78A7::libc.so.6  48 89 EE                mov rsi, rbp
0x7F9AD43A78AA::libc.so.6  48 89 DF                mov rdi, rbx
0x7F9AD43A78AD::libc.so.6  48 8B 6C 24 10          mov rbp, qword ptr [rsp+0x10]
0x7F9AD43A78B2::libc.so.6  48 8B 5C 24 08          mov rbx, qword ptr [rsp+0x8]
0x7F9AD43A78B7::libc.so.6  48 83 C4 18             add rsp, 0x18
0x7F9AD43A78BB::libc.so.6  E9 20 FD FF FF          jmp 0x7f9ad43a75e0
0x7F9AD43A75E0::libc.so.6  48 89 5C 24 D8          mov qword ptr [rsp-0x28], rbx
0x7F9AD43A75E5::libc.so.6  4C 89 64 24 E8          mov qword ptr [rsp-0x18], r12
0x7F9AD43A75EA::libc.so.6  48 89 FB                mov rbx, rdi
0x7F9AD43A75ED::libc.so.6  48 89 6C 24 E0          mov qword ptr [rsp-0x20], rbp
0x7F9AD43A75F2::libc.so.6  4C 89 6C 24 F0          mov qword ptr [rsp-0x10], r13
0x7F9AD43A75F7::libc.so.6  49 89 F4                mov r12, rsi
0x7F9AD43A75FA::libc.so.6  4C 89 74 24 F8          mov qword ptr [rsp-0x8], r14
0x7F9AD43A75FF::libc.so.6  48 83 EC 28             sub rsp, 0x28
0x7F9AD43A7603::libc.so.6  48 8B 05 4E F9 2F 00    mov rax, qword ptr [rip+0x2ff94e]
0x7F9AD43A760A::libc.so.6  48 8B 00                mov rax, qword ptr [rax]
0x7F9AD43A760D::libc.so.6  48 85 C0                test rax, rax
0x7F9AD43A7610::libc.so.6  0F 85 46 02 00 00       jnz 0x7f9ad43a785c
0x7F9AD43A7616::libc.so.6  48 83 FF 10             cmp rdi, 0x10
0x7F9AD43A761A::libc.so.6  77 24                   jnbe 0x7f9ad43a7640
0x7F9AD43A761C::libc.so.6  48 8B 1C 24             mov rbx, qword ptr [rsp]
0x7F9AD43A7620::libc.so.6  48 8B 6C 24 08          mov rbp, qword ptr [rsp+0x8]
0x7F9AD43A7625::libc.so.6  48 89 F7                mov rdi, rsi
0x7F9AD43A7628::libc.so.6  4C 8B 64 24 10          mov r12, qword ptr [rsp+0x10]
0x7F9AD43A762D::libc.so.6  4C 8B 6C 24 18          mov r13, qword ptr [rsp+0x18]
0x7F9AD43A7632::libc.so.6  4C 8B 74 24 20          mov r14, qword ptr [rsp+0x20]
0x7F9AD43A7637::libc.so.6  48 83 C4 28             add rsp, 0x28
0x7F9AD43A763B::libc.so.6  E9 E0 EE FF FF          jmp 0x7f9ad43a6520
0x7F9AD43A7640::libc.so.6  48 83 FF 1F             cmp rdi, 0x1f
0x7F9AD43A7644::libc.so.6  B8 20 00 00 00          mov eax, 0x20
0x7F9AD43A7649::libc.so.6  48 0F 46 D8             cmovbe rbx, rax
0x7F9AD43A764D::libc.so.6  48 8B 05 CC F6 2F 00    mov rax, qword ptr [rip+0x2ff6cc]
0x7F9AD43A7654::libc.so.6  64 48 8B 28             mov rbp, qword ptr fs:[rax]
0x7F9AD43A7658::libc.so.6  48 85 ED                test rbp, rbp
0x7F9AD43A765B::libc.so.6  74 1F                   jz 0x7f9ad43a767c
0x7F9AD43A765D::libc.so.6  31 C0                   xor eax, eax
0x7F9AD43A765F::libc.so.6  BA 01 00 00 00          mov edx, 0x1
0x7F9AD43A7664::libc.so.6  83 3D 7D 4F 30 00 00    cmp dword ptr [rip+0x304f7d], 0x0
0x7F9AD43A766B::libc.so.6  74 07                   jz 0x7f9ad43a7674
0x7F9AD43A766D::libc.so.6  F0 0F B1 55 00          lock cmpxchg dword ptr [rbp], edx
0x7F9AD43A7672::libc.so.6  EB 04                   jmp 0x7f9ad43a7678
0x7F9AD43A7674::libc.so.6  0F B1 55 00             cmpxchg dword ptr [rbp], edx
0x7F9AD43A7678::libc.so.6  85 C0                   test eax, eax
0x7F9AD43A767A::libc.so.6  74 18                   jz 0x7f9ad43a7694
0x7F9AD43A767C::libc.so.6  4A 8D 74 23 20          lea rsi, ptr [rbx+r12*1+0x20]
0x7F9AD43A7681::libc.so.6  48 89 EF                mov rdi, rbp
0x7F9AD43A7684::libc.so.6  45 31 ED                xor r13d, r13d
0x7F9AD43A7687::libc.so.6  E8 34 B4 FF FF          call 0x7f9ad43a2ac0 -> malloc_set_state
0x7F9AD43A7694::libc.so.6  4C 89 E2                mov rdx, r12
0x7F9AD43A7697::libc.so.6  48 89 DE                mov rsi, rbx
0x7F9AD43A769A::libc.so.6  48 89 EF                mov rdi, rbp
0x7F9AD43A769D::libc.so.6  E8 4E F4 FF FF          call 0x7f9ad43a6af0 -> malloc_get_state
0x7F9AD43A6AF0::libc.so.6  48 89 6C 24 D8          mov qword ptr [rsp-0x28], rbp
0x7F9AD43A6AF5::libc.so.6  4C 89 74 24 F0          mov qword ptr [rsp-0x10], r14
0x7F9AD43A6AFA::libc.so.6  48 89 FD                mov rbp, rdi
0x7F9AD43A6AFD::libc.so.6  48 89 5C 24 D0          mov qword ptr [rsp-0x30], rbx
